[ate: Sat, 14 Mar 2015 05:46:13 +0100] [type: Admin Users] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Bloqueo de Usuario 1]
[ate: Sat, 14 Mar 2015 05:54:02 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Cambio en parametros de configuracion ajh_admin_users ]
[ate: Sat, 14 Mar 2015 05:58:29 +0100] [type: Admin Users] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Eliminacion de usuario 2]
[ate: Sat, 14 Mar 2015 06:02:08 +0100] [type: Admin Users] [action: {admin_users} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Eliminacion de usuario 6]
[ate: Sat, 14 Mar 2015 06:25:24 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Actualizacion de usuario 4 ]
[ate: Sat, 14 Mar 2015 06:28:23 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Actualizacion de usuario 4 ]
[ate: Sat, 14 Mar 2015 06:29:06 +0100] [type: Admin] [action: sql ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Actualizacion de usuario 5 ]
[ate: Sat, 14 Mar 2015 06:29:55 +0100] [type: Admin Items] [action: {admin_params_conf} ][pid: 3052] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2; rv:36.0) Gecko/20100101 Firefox/36.0] [message: Evento Eliminado 8]
[ate: Sat, 14 Mar 2015 23:11:40 +0100] [type: admin] [action: login ][pid: 2564] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36] [message: Inicio de sesión correcto]
[ate: Sat, 14 Mar 2015 23:12:19 +0100] [type: Admin] [action: sql ][pid: 2564] [client: localhost:80] [user: 1] [ip: ::1] [useragent: Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36] [message: Actualizacion de usuario 4 ]
